cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 220,1986.590909090909,794.4659090909091,0,0,0,44,489,0,0,203,173,197,0
Cell 221,2449.2933333333335,793.92,31,71,0,16,0,495,0,0,306,0,0
Cell 222,2002.864406779661,795.8474576271186,0,0,696,171,0,47,0,167,125,42,0
Cell 223,5603.447619047619,796.3333333333334,73,234,0,166,530,311,0,0,47,99,0
Cell 224,1626.8793103448277,796.2241379310345,0,0,0,0,0,0,70,0,0,0,0
Cell 225,4508.835820895522,799.1865671641791,52,107,10,10,456,53,113,679,25,28,0
Cell 226,5577.322222222222,799.3222222222222,83,156,0,102,332,457,0,0,37,63,0
Cell 227,3448.402298850575,803.1494252873563,23,0,0,0,0,67,0,0,0,11,0
Cell 228,3780.2,801.8941176470588,77,0,147,17,872,0,0,0,266,0,0
Cell 229,4362.952941176471,802.8823529411765,10,114,0,0,262,40,942,445,12,37,0
Cell 230,3103.7809523809524,804.8095238095239,0,113,0,381,0,0,0,0,488,0,0
Cell 231,3935.3645833333335,806.1458333333334,58,192,0,0,995,36,717,861,13,0,0
Cell 232,4075.3333333333335,805.528735632184,20,136,32,0,779,17,415,1256,31,0,0
Cell 233,5004.0,807.4938271604939,46,600,0,15,0,63,0,0,51,13,0
Cell 234,2214.561403508772,807.1052631578947,24,0,202,796,92,0,0,0,45,0,0
Cell 235,5029.587155963302,810.183486238532,51,0,24,0,0,100,0,0,76,14,0
Cell 236,2425.5934065934066,809.4835164835165,60,27,147,0,0,0,0,0,0,0,0
Cell 237,1649.8428571428572,810.1,0,0,0,444,148,11,92,374,131,130,0
Cell 238,1691.896551724138,811.2586206896551,0,0,0,0,0,0,0,0,0,0,0
Cell 239,2638.846153846154,811.3076923076923,0,0,804,830,311,12,181,669,93,159,0
Cell 240,3539.564516129032,809.3548387096774,26,156,0,101,0,260,0,0,53,0,0
Cell 241,5984.810810810811,814.2162162162163,0,0,0,0,0,0,616,0,0,0,0
Cell 242,3292.776699029126,817.0776699029126,0,0,0,0,19,232,415,634,10,0,0
Cell 243,4966.1648351648355,816.2527472527472,84,0,0,11,0,0,0,0,16,17,32
Cell 244,1501.051724137931,815.4655172413793,0,13,493,0,0,0,0,0,0,0,0
Cell 245,4955.235294117647,818.5588235294117,0,0,0,0,0,192,0,0,103,27,0
Cell 246,3607.0116279069766,819.4418604651163,11,325,17,83,878,339,999,883,64,0,21
Cell 247,1712.159420289855,820.536231884058,34,0,10,102,277,72,541,462,122,0,0
Cell 248,1514.2297297297298,821.4459459459459,21,86,0,608,961,791,0,0,385,94,0
Cell 249,2247.6754385964914,823.6140350877193,0,43,0,81,0,0,0,0,35,77,0
Cell 250,2436.720930232558,825.2558139534884,61,0,320,0,0,464,0,0,361,0,0
Cell 251,3199.4094488188975,825.3700787401575,20,85,0,0,0,0,0,851,186,56,71
Cell 252,2366.2523364485983,828.0934579439253,66,85,201,877,564,0,466,972,412,0,0
Cell 253,5955.036585365854,827.7926829268292,130,282,0,150,574,544,0,0,0,94,0
Cell 254,1527.2916666666667,828.3194444444445,0,0,74,0,154,319,925,798,110,0,0
Cell 255,3091.409090909091,830.3295454545455,0,0,0,400,0,0,0,0,350,0,0
Cell 256,3731.5697674418607,829.1511627906976,41,101,0,0,474,0,773,516,15,0,22
Cell 257,2175.5789473684213,831.1578947368421,0,66,10,94,0,298,0,0,216,216,0
Cell 258,1240.2758620689656,832.183908045977,0,0,114,265,132,92,344,343,142,0,0
Cell 259,1185.1238938053098,835.0442477876106,0,0,0,204,57,99,213,228,158,258,0
Cell 260,5080.175675675676,834.2702702702703,0,0,0,0,222,237,680,653,0,0,0
Cell 261,5092.603448275862,837.3965517241379,0,0,0,0,0,22,0,0,0,0,0
Cell 262,3038.5287356321837,842.551724137931,17,0,0,16,516,243,826,439,83,0,0
Cell 263,3083.8888888888887,840.2037037037037,15,225,702,0,0,0,0,0,0,0,0
Cell 264,4937.153846153846,840.6,34,0,0,0,0,321,0,0,13,0,0
Cell 265,2136.714285714286,841.7142857142857,22,91,0,0,0,619,0,0,0,0,0
Cell 266,2248.6301369863013,846.6986301369863,0,81,191,15,911,0,0,0,67,0,0
Cell 267,2594.656862745098,848.0686274509804,56,58,0,348,815,122,0,0,287,0,0
Cell 268,2768.7263157894736,848.5368421052632,0,0,0,106,162,58,565,661,0,0,0
Cell 269,4791.19587628866,848.1134020618557,133,483,24,51,493,874,174,0,39,0,78
Cell 270,2151.5089285714284,850.9196428571429,49,67,231,534,0,0,0,0,293,189,37
Cell 271,4287.798701298701,850.5584415584416,0,344,0,0,806,29,0,382,30,10,27
Cell 272,1370.964705882353,856.9529411764706,0,0,450,341,13,0,385,369,13,0,0
Cell 273,5937.193181818182,851.75,18,156,0,100,149,356,0,0,0,230,0
Cell 274,1271.2970297029703,853.7920792079208,0,0,0,367,388,0,316,661,101,78,0
Cell 275,1639.8,852.1666666666666,0,0,174,103,221,0,58,172,83,0,0
Cell 276,2576.9032258064517,851.5806451612904,0,0,21,0,0,0,0,10,0,0,0
Cell 277,5883.8859649122805,856.2017543859649,29,108,0,99,132,320,0,0,0,65,0
Cell 278,1773.969696969697,855.7070707070707,23,13,198,706,455,11,716,452,139,0,0
Cell 279,1867.4432989690722,856.5773195876288,0,0,0,146,177,92,680,522,0,0,0
Cell 280,1186.8598130841121,859.2149532710281,0,0,0,23,12,10,593,217,100,10,0
Cell 281,1913.6382978723404,862.4574468085107,0,0,23,182,168,76,151,417,0,0,0
Cell 282,2979.0071942446043,865.3669064748201,0,38,63,117,0,573,0,0,124,0,0
Cell 283,2391.7261904761904,864.7619047619048,42,13,325,837,528,229,0,0,203,0,0
Cell 284,4924.956896551724,868.301724137931,76,0,0,0,183,109,0,196,39,334,0
Cell 285,3716.4895833333335,867.1875,31,213,0,206,634,179,0,0,20,37,36
Cell 286,5797.6875,868.525,0,31,0,59,0,466,0,0,0,12,0
Cell 287,4149.846153846154,868.0,59,149,0,26,851,572,0,1002,12,0,0
Cell 288,3828.646017699115,872.7787610619469,21,127,0,27,789,0,715,0,103,0,0
Cell 289,5300.016806722689,875.0672268907563,33,367,0,0,807,564,0,0,36,63,0
Cell 290,5317.609523809524,874.2857142857143,82,0,0,30,0,0,0,818,49,20,0
Cell 291,4721.425742574257,876.4257425742575,47,188,0,22,306,438,0,865,22,0,0
Cell 292,2389.5064935064934,879.2207792207793,30,0,0,0,0,11,0,0,0,11,0
Cell 293,3139.1269035532996,883.9644670050761,43,174,51,139,0,21,0,0,195,121,34
Cell 294,3413.5555555555557,880.9375,42,226,0,106,679,557,0,0,83,30,0
Cell 295,4878.142857142857,880.6904761904761,43,159,0,0,308,17,875,94,15,50,0
Cell 296,4065.0416666666665,884.0138888888889,62,384,0,152,1221,514,116,0,21,287,14
Cell 297,1292.3833333333334,885.95,0,10,278,708,349,41,592,474,150,104,0
Cell 298,2052.4462809917354,895.2148760330579,44,0,755,310,568,133,998,465,135,0,0
Cell 299,1089.5520833333333,895.8125,0,18,14,100,28,120,446,328,101,257,0
Cell 300,2836.6964285714284,896.8214285714286,33,155,25,35,650,70,976,916,201,30,0
Cell 301,3724.1447368421054,899.8157894736842,65,12,0,0,0,0,0,15,0,0,0
Cell 302,4819.057142857143,898.3571428571429,64,123,0,0,328,414,0,683,0,0,0
Cell 303,5588.064,901.072,11,157,0,0,330,194,0,357,35,765,0
Cell 304,5337.977011494253,903.5862068965517,58,168,0,0,638,77,0,297,21,0,0
Cell 305,3744.18085106383,903.9893617021277,59,64,0,265,520,49,0,566,29,0,0
Cell 306,4188.63829787234,903.5212765957447,107,288,0,0,631,493,0,554,0,0,0
Cell 307,5737.488038277512,907.8421052631579,28,306,0,186,331,0,0,0,38,212,0
Cell 308,2282.962962962963,904.8703703703703,19,60,166,110,0,303,0,0,167,0,0
Cell 309,1439.092105263158,907.4078947368421,0,13,320,256,262,219,281,426,147,92,0
Cell 310,3315.778846153846,908.1923076923077,0,124,0,80,656,286,0,866,132,16,0
Cell 311,4368.83,911.7,0,0,0,0,0,131,126,0,0,0,0
Cell 312,5058.6107382550335,910.2818791946308,58,445,0,35,1603,582,0,907,13,0,0
