Cellid,X,Y,W,H,cX,cY,Aera
6912,7560,3280,1,1,7560,3280,1
6913,7520,3281,73,74,7558.535393,3318.312484,3885
6914,8226,3281,1,1,8226,3281,1
6915,8663,3280,1,1,8663,3280,1
6916,9026,3280,1,1,9026,3280,1
6917,9028,3280,1,1,9028,3280,1
6918,9941,3280,1,1,9941,3280,1
6919,10232,3281,2,2,10232.5,3281.5,2
6920,10265,3281,2,1,10265.5,3281,2
6921,10784,3281,1,1,10784,3281,1
6922,3818,3283,1,1,3818,3283,1
6923,4282,3282,1,1,4282,3282,1
6924,4284,3283,1,1,4284,3283,1
6925,4989,3283,2,2,4989.5,3283.5,2
6926,5996,3282,2,2,5996.5,3282.5,4
6927,7182,3282,2,1,7182.5,3282,2
6928,9942,3282,2,2,9942.5,3282.5,4
6929,10248,3282,1,1,10248,3282,1
6930,10250,3283,1,1,10250,3283,1
6931,10255,3283,1,1,10255,3283,1
6932,4264,3284,1,1,4264,3284,1
6933,4268,3284,2,3,4268.333333,3285,3
6934,4224,3284,202,191,4325.14118,3383.176342,18742
6935,5435,3284,1,1,5435,3284,1
6936,5951,3284,1,1,5951,3284,1
6937,6768,3284,2,3,6768.333333,3285,3
6938,8225,3285,1,1,8225,3285,1
6939,8227,3284,1,1,8227,3284,1
6940,8934,3285,2,2,8934.333333,3285.333333,3
6941,10129,3284,147,192,10205.89812,3369.608155,8363
6942,10828,3285,4,5,10829.55556,3287.222222,9
6943,4264,3286,1,1,4264,3286,1
6944,5944,3286,1,1,5944,3286,1
6945,5991,3287,1,1,5991,3287,1
6946,8660,3287,1,1,8660,3287,1
6947,8663,3287,1,1,8663,3287,1
6948,10267,3287,2,1,10267.5,3287,2
6949,10293,3286,1,2,10293,3286.5,2
6950,10787,3286,1,2,10787,3286.5,2
6951,4242,3289,1,1,4242,3289,1
6952,4262,3288,2,2,4262.5,3288.5,2
6953,4276,3289,1,1,4276,3289,1
6954,4941,3289,1,1,4941,3289,1
6955,4946,3289,1,1,4946,3289,1
6956,5071,3288,1,1,5071,3288,1
6957,5074,3289,2,1,5074.5,3289,2
6958,5945,3288,1,1,5945,3288,1
6959,6829,3288,1,1,6829,3288,1
6960,7536,3289,2,2,7536.5,3289.5,2
