,Cellid,X,Y,W,H,cX,cY,Aera
22381,22381,7493,9123,1,1,7493.0,9123.0,1
22382,22382,7671,9123,1,1,7671.0,9123.0,1
22383,22383,8088,9122,1,1,8088.0,9122.0,1
22384,22384,8091,9122,1,1,8091.0,9122.0,1
22385,22385,9064,9122,1,1,9064.0,9122.0,1
22386,22386,9071,9122,1,1,9071.0,9122.0,1
22387,22387,9607,9122,1,1,9607.0,9122.0,1
22388,22388,10912,9122,2,4,10912.6,9123.6,5
22389,22389,10942,9123,1,1,10942.0,9123.0,1
22390,22390,11572,9122,1,1,11572.0,9122.0,1
22391,22391,11824,9122,1,1,11824.0,9122.0,1
22392,22392,5763,9125,1,1,5763.0,9125.0,1
22393,22393,7474,9125,1,1,7474.0,9125.0,1
22394,22394,7665,9124,1,1,7665.0,9124.0,1
22395,22395,7670,9125,1,1,7670.0,9125.0,1
22396,22396,8131,9124,1,1,8131.0,9124.0,1
22397,22397,9069,9124,1,1,9069.0,9124.0,1
22398,22398,9073,9124,2,1,9073.5,9124.0,2
22399,22399,9076,9125,2,1,9076.5,9125.0,2
22400,22400,9555,9124,1,1,9555.0,9124.0,1
22401,22401,9557,9124,4,2,9558.5,9124.75,4
22402,22402,9562,9125,1,1,9562.0,9125.0,1
22403,22403,4553,9126,2,4,4553.6,9127.6,5
22404,22404,5735,9127,6,4,5736.75,9128.416666666666,12
22405,22405,6446,9126,1,2,6446.0,9126.5,2
22406,22406,6529,9127,1,1,6529.0,9127.0,1
22407,22407,6540,9126,1,1,6540.0,9126.0,1
22408,22408,7481,9126,1,1,7481.0,9126.0,1
22409,22409,7486,9127,1,1,7486.0,9127.0,1
22410,22410,7488,9126,2,4,7488.5,9127.5,8
22411,22411,8091,9126,1,1,8091.0,9126.0,1
22412,22412,8763,9127,1,1,8763.0,9127.0,1
22413,22413,9073,9126,1,1,9073.0,9126.0,1
22414,22414,9562,9127,1,1,9562.0,9127.0,1
22415,22415,10913,9127,1,1,10913.0,9127.0,1
22416,22416,11586,9126,1,1,11586.0,9126.0,1
22417,22417,11592,9127,1,1,11592.0,9127.0,1
22418,22418,11599,9127,1,1,11599.0,9127.0,1
22419,22419,5706,9129,1,1,5706.0,9129.0,1
22420,22420,5762,9128,1,1,5762.0,9128.0,1
22421,22421,5868,9128,2,2,5868.5,9128.5,4
22422,22422,6428,9129,1,1,6428.0,9129.0,1
22423,22423,6438,9129,1,1,6438.0,9129.0,1
22424,22424,9560,9129,3,2,9561.25,9129.25,4
22425,22425,9564,9128,1,1,9564.0,9128.0,1
22426,22426,9918,9129,1,1,9918.0,9129.0,1
22427,22427,5408,9130,1,1,5408.0,9130.0,1
22428,22428,5460,9130,1,1,5460.0,9130.0,1
22429,22429,5742,9130,1,1,5742.0,9130.0,1
22430,22430,6385,9130,79,57,6424.732783357245,9160.442611190818,2788
22431,22431,8134,9131,1,1,8134.0,9131.0,1
22432,22432,9848,9131,1,1,9848.0,9131.0,1
22433,22433,10932,9131,2,1,10932.5,9131.0,2
22434,22434,11823,9130,2,1,11823.5,9130.0,2
22435,22435,11940,9130,1,1,11940.0,9130.0,1
22436,22436,4554,9132,1,1,4554.0,9132.0,1
22437,22437,5743,9132,1,1,5743.0,9132.0,1
22438,22438,6424,9132,1,1,6424.0,9132.0,1
22439,22439,7685,9132,1,1,7685.0,9132.0,1
22440,22440,8131,9132,1,1,8131.0,9132.0,1
22441,22441,8819,9132,1,1,8819.0,9132.0,1
22442,22442,9562,9133,1,1,9562.0,9133.0,1
22443,22443,4559,9135,1,1,4559.0,9135.0,1
22444,22444,5460,9134,1,1,5460.0,9134.0,1
22445,22445,5710,9135,1,1,5710.0,9135.0,1
22446,22446,5734,9135,1,1,5734.0,9135.0,1
22447,22447,5740,9134,1,1,5740.0,9134.0,1
22448,22448,5799,9135,1,1,5799.0,9135.0,1
22449,22449,5806,9134,2,2,5806.5,9134.5,4
22450,22450,6449,9134,1,1,6449.0,9134.0,1
22451,22451,6508,9134,1,1,6508.0,9134.0,1
22452,22452,8819,9135,1,2,8819.0,9135.5,2
22453,22453,11820,9135,1,1,11820.0,9135.0,1
22454,22454,11937,9135,1,1,11937.0,9135.0,1
22455,22455,5412,9137,1,1,5412.0,9137.0,1
22456,22456,5460,9137,1,1,5460.0,9137.0,1
22457,22457,5463,9137,1,1,5463.0,9137.0,1
22458,22458,5727,9136,17,14,5736.047169811321,9142.650943396226,106
22459,22459,5759,9136,1,1,5759.0,9136.0,1
22460,22460,5766,9137,1,1,5766.0,9137.0,1
22461,22461,5771,9136,1,1,5771.0,9136.0,1
22462,22462,6402,9136,2,2,6402.5,9136.5,4
22463,22463,6406,9136,1,1,6406.0,9136.0,1
22464,22464,6414,9136,1,1,6414.0,9136.0,1
22465,22465,6418,9137,2,2,6418.5,9137.5,2
22466,22466,6657,9136,1,1,6657.0,9136.0,1
22467,22467,6662,9136,1,1,6662.0,9136.0,1
22468,22468,8293,9137,16,19,8300.098591549297,9144.788732394367,142
